,tactic_id,impression_pixel_json,StatusCodes,Status
114,331951,https://ad.doubleclick.net/ddm/trackimp/N5622.1264338TRIPLELIFTINC/B8431096.124872448;dc_trk_aid=299485960;dc_trk_cid=67748135;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,failed to connect,Failed
117,329081,http://servedby.flashtalking.com/imp/4/42262;1271001;201;redirect;AXM;ViatorViator2015AXMProgrammaticNativeDesktop2015RONJumping2BucketlistImagetextSSUS/?cachebuster=[CACHEBUSTER]&url=https://tagman.viator.com/viator/tman.cgi?tmad=i&tmcampid=55&tmtag=image,failed to connect,Failed
118,332007,https://ad.doubleclick.net/ddm/ad/N5359.1264338TRIPLELIFTINC/B9308220.129740693;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,failed to connect,Failed
120,330086,https://ad.doubleclick.net/ddm/ad/N117602.288332ACCUEN/B9113231.124167383;sz=1x1;ord=[timestamp]?,failed to connect,Failed
123,324245,"http://log.dmtry.com/redir/1/2495/4052/954080/0/1/153/0/959/1.ver?at=i&d=PxImp&img=1"",""https://ad.doubleclick.net/ddm/ad/N8092.1264338TRIPLELIFTINC/B8853628.121068261;sz=1x1;ord=[timestamp]?",failed to connect,Failed
124,331452,"https://d.xp1.ru4.com/tad?_o=42032312&_t=dfa_%epid!&ssv_mmuid=%pmmuid=!;&ssv_mmaid=%pmmaid=!;&ssv_mmsid=%pmmsid=!;"",""https://ad.doubleclick.net/ddm/ad/N7657.226576DBM/B9270850.125851314;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?",failed to connect,Failed
125,329842,https://ad.doubleclick.net/ddm/ad/N6451.668587.AODDISPLAY/B8571044.124478440;sz=1x1;ord=[timestamp]?,failed to connect,Failed
126,330831,https://ad.doubleclick.net/ddm/ad/N8278.468584.AMNETGROUPINC./B9240911.125516243;sz=1x1,failed to connect,Failed
128,337759,"https://ad.doubleclick.net/ddm/trackimp/N2724.1852769TRIPLELIFT.COM/B9457112.128485013;dc_trk_aid=301461693;dc_trk_cid=66292004;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http://tags.bluekai.com/site/32057?limit=1",failed to connect,Failed
129,339471,https://rover.ebay.com/ar/1/711-219464-1181-24/4?mpt=[CACHEBUSTER]&siteid=0&adtype=0&size=1x1&ipn=admain2&placement=442817&mpvc=,failed to connect,Failed
130,339956,"https://ad.doubleclick.net/ddm/ad/N38206.1264338TRIPLELIFTINC/B9289656.130495670;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""https://log.dmtry.com/redir/1/2495/3850/1248590/0/1/160/0/971/1.ver?at=i&d=PxImp&img=1"",""http://tags.bluekai.com/site/33428?limit=1",failed to connect,Failed
131,337682,"https://ad.doubleclick.net/ddm/trackimp/N2724.1264338TRIPLELIFTINC/B9430557.128236093;dc_trk_aid=301625719;dc_trk_cid=68947293;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http://tags.bluekai.com/site/32065?limit=1",failed to connect,Failed
132,327784,https://adfarm.mediaplex.com/ad/tr/24693-217020-26109-5?mpt=[CACHEBUSTER]&mpcs=bypass,failed to connect,Failed
134,334928,"https://ad.doubleclick.net/ddm/ad/N3577.2100704VIVAKI-TRIPLELIFT/B9428917.128763284;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http://tags.bluekai.com/site/31751?limit=1",failed to connect,Failed
135,329401,https://ad.doubleclick.net/ddm/trackimp/N6029.1264338TRIPLELIFTINC/B9077025.124603630;dc_trk_aid=297510084;dc_trk_cid=66460545;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,failed to connect,Failed
137,334989,http://asdfljkl.com,failed to connect,Failed
138,335900,https://ad.atdmt.com/i/img;p=11042209573637;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=,failed to connect,Failed
139,327098,"https://ad.doubleclick.net/ddm/trackimp/N6643.133090.MEDIAMATH/B8990841.121609339;dc_trk_aid=295493525;dc_trk_cid=65341241;ord=[timestamp]?"",""https://sb.scorecardresearch.com/p?c1=3&c2=6035257&c3=8990841&c4=65341241&c5=121609339&c6=&c10=1&c11=1127122&c13=1x1&c16=gen&cj=1&ax_fwd=1&rn=[TIMESTAMP]&",failed to connect,Failed
140,327940,https://ad.atdmt.com/i/img;p=11042207804726;a=11042207808554;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=,failed to connect,Failed
141,327093,"https://ad.doubleclick.net/ddm/trackimp/N6643.133090.MEDIAMATH/B8990841.121609409;dc_trk_aid=295493525;dc_trk_cid=65341241;ord=[timestamp]?"",""https://sb.scorecardresearch.com/p?c1=3&c2=6035257&c3=8990841&c4=65341241&c5=121609409&c6=&c10=1&c11=1127122&c13=1x1&c16=gen&cj=1&ax_fwd=1&rn=[TIMESTAMP]&",failed to connect,Failed
142,331743,https://ad.doubleclick.net/ddm/ad/N149404.2079317MEDIAMATHPROGRAMM/B9246245.126225420;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,failed to connect,Failed
143,339732,https://ad.doubleclick.net/ddm/ad/N7088.284566THETRADEDESK/B9516497.129471532;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,failed to connect,Failed
144,330686,https://beacon.walmart.com/vm/ttap.gif?id=10695063&channel=walmart&creative=Braun7790routines&destination=productpage&size=variable&idea=wmeh&type=native&network=sraxvendor_xntl&device=mixed,failed to connect,Failed
